model_name,is_grid_search,used_pca,pca_components,parameters,rmse_original,mae_original,r2_original,rmse_log,mae_log,r2_log
lr,False,False,,"{""memory"": ""None"", ""model"": ""LinearRegression()"", ""model__copy_X"": ""True"", ""model__fit_intercept"": ""True"", ""model__n_jobs"": ""None"", ""model__positive"": ""False"", ""model__tol"": ""1e-06"", ""scaler"": ""StandardScaler()"", ""scaler__copy"": ""True"", ""scaler__with_mean"": ""True"", ""scaler__with_std"": ""True"", ""steps"": ""[('scaler', StandardScaler()), ('model', LinearRegression())]"", ""transform_input"": ""None"", ""verbose"": ""False""}",19.366144758790973,5.608731739119537,0.13260086085904133,0.5961611187000211,0.41520714975355694,0.5247852163278584
lr_gs,True,True,10.0,"{""pca__n_components"": ""10"", ""ridge__alpha"": ""10.0""}",19.49224601608578,5.771452929513533,0.12126807017884633,0.6121601464033022,0.43825072932065023,0.49893651933904093
xgb,False,False,,"{""base_score"": ""None"", ""booster"": ""None"", ""callbacks"": ""None"", ""colsample_bylevel"": ""None"", ""colsample_bynode"": ""None"", ""colsample_bytree"": ""0.8"", ""device"": ""None"", ""early_stopping_rounds"": ""None"", ""enable_categorical"": ""False"", ""eval_metric"": ""None"", ""feature_types"": ""None"", ""feature_weights"": ""None"", ""gamma"": ""None"", ""grow_policy"": ""None"", ""importance_type"": ""None"", ""interaction_constraints"": ""None"", ""learning_rate"": ""0.1"", ""max_bin"": ""None"", ""max_cat_threshold"": ""None"", ""max_cat_to_onehot"": ""None"", ""max_delta_step"": ""None"", ""max_depth"": ""6"", ""max_leaves"": ""None"", ""min_child_weight"": ""None"", ""missing"": ""nan"", ""monotone_constraints"": ""None"", ""multi_strategy"": ""None"", ""n_estimators"": ""200"", ""n_jobs"": ""-1"", ""num_parallel_tree"": ""None"", ""objective"": ""reg:squarederror"", ""random_state"": ""42"", ""reg_alpha"": ""None"", ""reg_lambda"": ""None"", ""sampling_method"": ""None"", ""scale_pos_weight"": ""None"", ""subsample"": ""0.8"", ""tree_method"": ""None"", ""validate_parameters"": ""None"", ""verbosity"": ""None""}",16.504836291204576,4.909466506989227,0.369978919545648,0.5122856913203905,0.3608304589352232,0.6490969864173433
xgb_gs,True,True,10.0,"{""pca__n_components"": ""10"", ""xgb__learning_rate"": ""0.1"", ""xgb__max_depth"": ""6"", ""xgb__n_estimators"": ""200""}",16.791108916353718,5.021265052025835,0.3479342390935356,0.5267496802988031,0.3719834071520783,0.6290023079685911
gb,False,False,,"{""alpha"": ""0.9"", ""ccp_alpha"": ""0.0"", ""criterion"": ""friedman_mse"", ""init"": ""None"", ""learning_rate"": ""0.1"", ""loss"": ""squared_error"", ""max_depth"": ""3"", ""max_features"": ""None"", ""max_leaf_nodes"": ""None"", ""min_impurity_decrease"": ""0.0"", ""min_samples_leaf"": ""1"", ""min_samples_split"": ""2"", ""min_weight_fraction_leaf"": ""0.0"", ""n_estimators"": ""200"", ""n_iter_no_change"": ""None"", ""random_state"": ""42"", ""subsample"": ""1.0"", ""tol"": ""0.0001"", ""validation_fraction"": ""0.1"", ""verbose"": ""0"", ""warm_start"": ""False""}",16.83204636632945,5.024001450520756,0.34475083410769347,0.5264992008100217,0.370726607380407,0.6293550569928884
